fish_id,sex,genotype,trial,machine,fish_num
094400-0,F,wt,1,1,1
094400-1,F,het,1,1,2
094400-2,M,het,1,1,3
094400-3,F,het,1,1,4
094400-4,F,wt,1,1,5
094400-5,M,wt,1,1,6
094400-6,F,hom,1,1,7
094400-7,M,het,1,1,8
094356-0,F,wt,1,2,9
094356-1,F,het,1,2,10
094356-2,F,wt,1,2,11
094356-3,M,hom,1,2,12
094356-4,M,het,1,2,13
094356-5,M,hom,1,2,14
094356-6,M,het,1,2,15
094356-7,F,het,1,2,16
113837-0,M,het,2,1,17
113837-1,M,wt,2,1,18
113837-2,M,wt,2,1,19
113837-3,M,wt,2,1,20
113837-4,M,hom,2,1,21
113837-5,F,het,2,1,22
113837-6,F,het,2,1,23
113837-7,F,wt,2,1,24
113832-0,M,hom,2,2,25
113832-1,F,wt,2,2,26
113832-2,F,hom,2,2,27
113832-3,F,hom,2,2,28
113832-4,F,hom,2,2,29
113832-5,F,het,2,2,30
113832-6,M,Error,2,2,31
113832-7,M,hom,2,2,32
132901-0,F,het,3,1,33
132901-1,F,wt,3,1,34
132901-2,F,wt,3,1,35
132901-3,M,hom,3,1,36
132901-4,M,het,3,1,37
132900-0,M,het,3,2,38
132900-1,M,het,3,2,39
132900-2,F,het,3,2,40
132900-3,F,hom,3,2,41
